index	fx	cinefile	fps	v	date	
7	0.098	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_right_X80mm_fps1400_lens105mm_macro_piston12mm_v75mms_A0mm_f5Hz_1.cine	1400.0	75.0	2016_08_19	
1	0.098	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_right_X80mm_fps1400_lens105mm_macro_piston12mm_v200mms_A0mm_f5Hz_1.cine	1400.0	200.0	2016_08_19	
8	0.0385	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_left_X80mm_fps1000_lens105mm_macro_piston12mm_v50mms_A0mm_f5Hz_1.cine	1000.0	50.0	2016_08_19	
9	0.098	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_right_X80mm_fps1400_lens105mm_macro_piston12mm_v50mms_A0mm_f5Hz_1.cine	1400.0	50.0	2016_08_19	
4	0.0385	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_left_X80mm_fps1400_lens105mm_macro_piston12mm_v100mms_A0mm_f5Hz_1.cine	1400.0	100.0	2016_08_19	
3	0.0385	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_left_X80mm_fps1400_lens105mm_macro_piston12mm_v150mms_A0mm_f5Hz_1.cine	1400.0	150.0	2016_08_19	
6	0.0385	/Volumes/Stephane/Vortex_Turbulence/2016_08_19/PIV_sv_box_left_X80mm_fps1400_lens105mm_macro_piston12mm_v75mms_A0mm_f5Hz_1.cine	1400.0	75.0	2016_08_19	
14	0.0412	/Volumes/Stephane/Vortex_Turbulence/2016_09_20/PIV_sv_box_X15mm_fps1500_lens105mm_macro_piston12mm_v50mms_A0mm_f5Hz_1.cine	1500.0	50.0	2016_09_20	
15	0.0412	/Volumes/Stephane/Vortex_Turbulence/2016_09_20/PIV_sv_box_X15mm_fps2000_lens105mm_macro_piston12mm_v200mms_A0mm_f5Hz_1.cine	2000.0	200.0	2016_09_20	
16	0.0412	/Volumes/Stephane/Vortex_Turbulence/2016_09_20/PIV_sv_box_X15mm_fps3000_lens105mm_macro_piston12mm_v300mms_A0mm_f5Hz_1.cine	3000.0	300.0	2016_09_20	
13	0.0412	/Volumes/Stephane/Vortex_Turbulence/2016_09_20/PIV_sv_box_X15mm_fps1500_lens105mm_macro_piston12mm_v100mms_A0mm_f5Hz_1.cine	1500.0	100.0	2016_09_20	
17	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine3.cine	3000.0	150.0	2016_11_12	
11	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine1.cine	3000.0	150.0	2016_11_12	
24	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine5.cine	5000.0	250.0	2016_11_12	
23	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine5.cine	3000.0	150.0	2016_11_12	
36	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine9.cine	5000.0	250.0	2016_11_12	
21	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine4.cine	5000.0	250.0	2016_11_12	
29	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine7.cine	3000.0	150.0	2016_11_12	
